Apotekergata+N+Prop+Sem/Plc	Apotekergt	ˈɑ.po.tˌe.ker#gh
inspirašuvdnagáldu+N+Der/viđá+Adv	inspirašuvdnagáldoviđá	ˈin.spi.rˌɑ.ʃuv.tnɑ#kˌɑːlː.to»vˌi.ðɑː
ioniseret+V+TV+Ind+Prt+Pl1	ioniseriimet	ˈio.ni.sˌe.rij.meh
ipmái+A+Comp+Attr	ibmát	ˈib.mɑːh
ipmái+A+Sg+Nom	ipmái	ˈipː.mɑːj
ipod+N+Pl+Nom+PxPl1	ipodaideamet	ˈi.po.ðˌɑjː.tĕæ.meh
irehas+N+Sg+Nom	irehas	ˈi.re.hɑs
irvi+N+Der/viđá+Adv	irveviđá	ˈirə.ve»vˌi.ðɑː
itnat+V+IV+Ind+Prs+Sg2	inat	ˈi.nɑːh
itnat+V+IV+Der/stuvva+V+Ind+Prs+Sg3	inastuvvá	ˈi.nɑː»stˌuvː.vɑː
itnut+V+IV+Der/NomAg+N+Sg+Ill+PxDu1	idnoseame	ˈid.no»sˌĕæ.me
ittis+A+Comp+Sg+Nom	iddásit	ˈidː.tɑː.sih
itálialaš+A+Ess	itálialažžan	ˈi.tɑː.lˌi.ɑ.lˌɑdː.tʃɑn
ivdni+N+Sg+Com	ivnniin	ˈiβn.nijn
ivdni+N+Der/Dimin+N+Der/viđá+Adv	ivnnášviđá	ˈiβnː.nɑː»ʃ»vˌi.ðɑː
iđus+N+Der/Dimin+N+Pl+Nom	ihtosaččat	ˈiːh.tos»ˌɑt.tʃɑh
iđihit+V+TV+Inf	iđihit	ˈi.ði.hih
jieš+Pron+Refl+Du+Nom	jieža	jˈie.dʃɑ
jieš+Pron+Refl+Ess	jiehčanassii	jˈieh.tʃɑ.nˌɑs.sij
jieš+Pron+Refl+Pl+Nom	jieža	jˈie.dʃɑ
jieš+Pron+Refl+Sg+Nom	jieš	jˈieʃ
jieš+Pron+Refl+Acc+PxSg1	jiehčan	jˈieh.tʃɑn
juobbágoabbá+Pron+Indef+Ess	juobbángoabbán	jˈuobː.pɑːn#kˌoɑbː.pɑːn
juobbágoabbá+Pron+Indef+Pl+Gen	juoppáidgoappáid	jˈŭŏpː.pɑːjh#kˌoɑp.pɑːjh
juobbágoabbá+Pron+Indef+Pl+Loc	juoppáingoappáin	jˈŭŏpː.pɑːjn#kˌoɑp.pɑːjn
juobbágoabbá+Pron+Indef+Sg+Acc	juoppágoappá	jˈŭŏpː.pɑː#kˌoɑp.pɑː
juobbágoabbá+Pron+Indef+Sg+Com	juoppáingoappáin	jˈŭŏpː.pɑːjn#kˌoɑp.pɑːjn
juobbágoabbá+Pron+Indef+Sg+Gen	juoppágoappá	jˈŭŏpː.pɑː#kˌoɑp.pɑː
juobbágoabbá+Pron+Indef+Sg+Ill	juobbáigoabbái	jˈuobː.pɑːj#kˌoɑbː.pɑːj
juobbágoabbá+Pron+Indef+Sg+Loc	juoppásgoappás	jˈŭŏpː.pɑːs#kˌoɑp.pɑːs
juobbágoabbá+Pron+Indef+Sg+Nom	juobbágoabbá	jˈuobː.pɑː#kˌoɑbː.pɑː
ja/dahje+CC	ja/dahje	jˈɑ/dɑh.je
jakkas+A+Sg+Loc	jaggasis	jˈɑgː.kɑː.sis
jakkaldit+V+TV+Ind+Prs+ConNeg	jakkal	jˈɑkː.kɑːl
japanesár+Sem/Hum+N+Der/viđá+Adv	japanesarviđá	jˈɑ.pɑː.nˌe.sɑr»vˌi.ðɑː
jarri+N+Sg+Gen+Allegro	jare	jˈɑ.re
jarkŋas+A+Superl+Attr	jargŋaseamos	jˈɑrə.kŋɑ.sˌĕæ.mos
jaspis+N+Ess	jaspisin	jˈɑsː.pi.sin
jebuslaš+Sem/Hum+N+Der/Dimin+N+Sg+Nom	jebuslaččaš	jˈeː.bus.lˌɑt.tʃɑ»ʃ
jegolašvuohta+N+Pl+Ill	jegolašvuođaide	jˈe.go.lˌɑʃ.vuo.ðˌɑj.de
jegosmuvvat+v2+V+IV+Ind+Prs+Du1	jegosnuvve	jˈeː.gos.nˌuv.ve
jekkiidsuodjalanplána+N+Der/viđá+Adv	jekkiidsuodjalanplánaviđá	jˈek.kijh#sˌuoc.cɑ.lɑn#plˌɑː.nɑ»vˌi.ðɑː
jes+CS	jes	jˈes
jeđđestit+V+TV+Cond+Prs+Pl3	jeđđestivčče	jˈeð.ðes.tˌiβɸ.tʃe
jidnet+V+TV+Ind+Prt+Pl2	jidniidet	jˈid.nij.deh
jievžat+V+TV+Imprt+Sg3	jivžos	jˈiβː.tʃos
jiekta+N+Pl+Ill+PxPl2	jievttaidasadet	jˈieβɸ.tɑj.dˌɑ.sɑ.deh
jigŋet+V+TV+VAbess	jigŋehaga	jˈig.ŋe.hˌɑ.gɑ
jingoisma+N+Sg+Loc+PxDu1	jingoismmasteame	jˈiŋŋ.ko.ˌis.mɑs.tˌĕæ.me
jirkut+V+TV+Pot+Prs+Pl1	jirkkožat	jˈirr̥.ko.dʃɑh
jo+Adv	jo	jˈo
jokŋasáfta+N+Sg+Ill	jokŋasáftii	jˈokː.ŋɑː#sˌɑːf.tij
jonssot+Sem/Time+N+Pl+Nom	jonssohat	jˈons.so.hɑh
joreštit+V+IV+Der/adda+V+Ger+PxPl1	joráštattadettiineamet	jˈoː.rɑːʃh»ˌɑt.tɑ.dˌet.tij.nˌĕæ.meh
jođas+N+Der/Dimin+N+Sg+Nom+PxSg1	johtasažžan	jˈohː.tɑːs»ˌɑdː.tʃɑn
jođas+N+Der/Dimin+N+Sg+Ill+PxSg1	johtasažžasan	jˈohː.tɑːs»ˌɑdː.tʃɑ.sɑn
jođáhaddat+V+TV+Der/NomAg+N+Der/viđá+Adv	jođáhaddaviđá	jˈo.ðɑː.hˌɑdː.tɑ»vˌi.ðɑː
judda+N+Pl+Nom	juttat	jˈutː.tɑːh
jugus+N+Der/heapmi+A+Attr+Der/vuohta+N+Sg+Ill	jugushisvuhtii	jˈuː.gus»his»vˌuh.tij
jugus+N+Der/viđá+Adv	jugusviđá	jˈuː.gus»vˌi.ðɑː
juggi+Sem/Plc+N+Der/laš+A+Sg+Nom	jukkálaš	jˈukː.kɑː»lɑʃ
juhkat+V+TV+Cond+Prs+Sg2	jugaledjet	jˈu.gɑː.lˌec.ceh
juice+N+Sg+Ill	juicii	jˈujː.çtsij
jukca+N+Sg+Gen+PxDu3	juvccaska	jˈuβɸː.tsɑːs.kɑ
jumaidit+V+IV+Der/ahtti+V+Imprt+Pl1	jumaidahttot	jˈu.mɑːjh»ˌɑhː.toh
juoŋasguolli+Sem/Ani+N+Pl+Nom	juoŋasguolit	jˈuo.ŋɑs#kˌuo.lih
juđus+N+Pl+Nom	juhtosat	jˈuh.to.sɑh
jábálduvvat+V+IV+Actio+Com	jábálduvvamiin	jˈɑː.bɑːl.dˌuv.vɑ.mijn
jáddat+V+IV+Imprt+Pl3	jáddoset	jˈɑːdː.to.seh
jáfut+N+Der/heapmi+A+Attr+Der/vuohta+N+Sg+Ill	jáfuhisvuhtii	jˈɑː.fu»his»vˌuh.tij
jáfut+N+Ess	jáffun	jˈɑːf.fuːn
jájáh+Interj	jájáh	jˈɑː.jɑːh
jápmit+V+IV+VAbess+A+Attr	jámekeahtes	jˈɑː.me.kˌĕæh.tes
jápmit+V+IV+Der/NomAg+N+Der/viđá+Adv	jábmiviđá	jˈɑːb.mi»vˌi.ðɑː
játnat+V+IV+Imprt+Pl2	jádnet	jˈɑːd.neh
jáá+Interj	jáá	jˈɑː.ɑː
kantuvra+Sem/Plc+N+Sg+Nom+PxDu3	gántuvraska	kˈɑːnː.n̥tuv.rˌɑsː.kɑ
kantuvra+Sem/Plc+N+Sg+Nom+PxPl3	gántuvraset	kˈɑːnː.n̥tuv.rˌɑ.seh
kantuvra+Sem/Plc+N+Sg+Nom+PxSg3	gántuvras	kˈɑːnː.n̥tuv.rɑs
kantuvra+Sem/Plc+N+Sg+Nom	gántuvra	kˈɑːnː.n̥tuv.rɑ
kantuvra+Sem/Plc+N+Ess+PxSg1	gántuvranan	kˈɑːnː.n̥tuv.rˌɑ.nɑn
kantuvra+Sem/Plc+N+Sg+Acc+PxDu1	gántuvrame	kˈɑːnː.n̥tuv.rˌɑ.me
kantuvra+Sem/Plc+N+Sg+Nom+PxSg1	gántuvran	kˈɑːnː.n̥tuv.rɑn
kantuvra+Sem/Plc+N+Sg+Ill	gántuvrii	kˈɑːnː.n̥tuv.rij
kantuvra+Sem/Plc+N+Pl+Ill+PxDu3	gántuvrraidasaska	kˈɑːnː.n̥tuvr.rˌɑjː.tɑ.sˌɑs.kɑ
kantuvra+Sem/Plc+N+Sg+Nom+PxSg3	kantuvras	khˈɑnː.n̥tuv.rɑs
kantuvra+Sem/Plc+N+Sg+Nom	kantuvra	khˈɑnː.n̥tuv.rɑ
kantuvra+Sem/Plc+N+Sg+Nom+PxDu3	kontuvraska	khˈonː.n̥tuv.rˌɑsː.kɑ
kantuvra+Sem/Plc+N+Sg+Nom+PxPl3	kontuvraset	khˈonː.n̥tuv.rˌɑ.seh
kantuvra+Sem/Plc+N+Ess+PxSg2	kantuvranat	khˈɑnː.n̥tuv.rˌɑ.nɑh
kantuvra+Sem/Plc+N+Sg+Ill	kantuvrii	khˈɑnː.n̥tuv.rij
kantuvra+Sem/Plc+N+Sg+Com+PxPl1	kantuvrraineamet	khˈɑnː.n̥tuvr.rˌɑj.nĕæ.meh
kantuvra+Sem/Plc+N+Sg+Ill	kontuvrii	khˈonː.n̥tuv.rij
kantuvra+Sem/Plc+N+Pl+Com	kontuvrraiguin	khˈonː.n̥tuvr.rˌɑjː.kujn
kantuvra+Sem/Plc+N+Pl+Nom	gántorat	kˈɑːnː.n̥to.rɑh
kantuvra+Sem/Plc+N+Sg+Loc	gántoris	kˈɑːnː.n̥to.ris
kantuvra+Sem/Plc+N+Der/viđá+Adv	gántorviđá	kˈɑːnː.n̥tor»vˌi.ðɑː
kantuvra+Sem/Plc+N+Sg+Gen+PxSg3	gánttoris	kˈɑːnn̥.to.ris
kantuvra+Sem/Plc+N+Sg+Acc	gánttora	kˈɑːnn̥.to.rɑ
kantuvra+Sem/Plc+N+Der/geahtes+A+Attr	gánttorgeahtes	kˈɑːnn̥.tor»gˌĕæh.tes
kantuvra+Sem/Plc+N+Der/viđá+Adv	gánttorviđá	kˈɑːnn̥.tor»vˌi.ðɑː
kantuvra+Sem/Plc+N+Ess	kontorin	khˈonː.n̥to.rin
kantuvra+Sem/Plc+N+Sg+Acc	kontora	khˈonː.n̥to.rɑ
kantuvra+Sem/Plc+N+Sg+Loc+PxPl1	kontoristtámet	khˈonː.n̥to.rˌis.tɑː.meh
kantuvra+Sem/Plc+N+Der/Dimin+N+Sg+Nom	kontoraš	khˈonː.n̥tor»ɑʃ
kantuvra+Sem/Plc+N+Der/viđá+Adv	kontorviđá	khˈonː.n̥tor»vˌi.ðɑː
kantuvra+Sem/Plc+N+Pl+Nom	konttorat	khˈonn̥.to.rɑh
kantuvra+Sem/Plc+N+Sg+Gen	konttora	khˈonn̥.to.rɑ
kantuvra+Sem/Plc+N+Der/viđá+Adv	konttorviđá	khˈonn̥.tor»vˌi.ðɑː
kanovdna+N+Sg+Nom+PxDu3	kanovdnaska	khˈɑ.nov.tnˌɑsː.kɑ
kanovdna+N+Sg+Nom+PxPl3	kanovdnaset	khˈɑ.nov.tnˌɑ.seh
kanovdna+N+Sg+Nom	kanovdna	khˈɑ.nov.tnɑ
kadmieret+V+TV+Der/PassL+V+IV+Actio+Loc	kadmierejuvvomis	khˈɑd.mi.ˌe.re»jˌuv.vo.mis
kadmonlaš+Sem/Hum+N+Sg+Nom	kadmonlaš	khˈɑd.mon.lɑʃ
kavitašuvdna+N+Sg+Ill	kavitašuvdnii	khˈɑ.vi.tˌɑ.ʃuv.tnij
keeper+N+Ess	keeperin	khˈe.e.pˌe.rin
kempe+Sem/Hum+N+Pl+Nom	kemppet	khˈemm̥.peh
kenlaš+Sem/Hum+N+Sg+Com+PxDu1	kenlaččaineame	khˈen.lɑːt.tʃˌɑj.nĕæ.me
kidnáhppen+Sem/Act+N+Pl+Nom	kidnáhppemat	khˈid#nˌɑhː.pe.mɑh
kievrut+V+IV+Der/h+V+TV+Imprt+Du3	kievrruhehkoska	khˈieβr.ru»hˌeh.kos.kɑ
kjemikála+N+Sg+Acc+PxSg1	kjemikálan	kjˈe.mi.kˌɑː.lɑn
kjemikála+N+Sg+Nom+PxSg3	kjemikálas	kjˈe.mi.kˌɑː.lɑs
kjemikála+N+Sg+Ill	kjemikálii	kjˈe.mi.kˌɑː.lij
klyxa+N+Sg+Ill+PxDu3	klyxaseaskka	klˈyks.ɑ.sˌeæs.kɑ
knohpa+N+Der/heapmi+A+Superl+Sg+Nom	knohpaheamos	knˈohː.pɑː»hˌĕæ.mos
kobleriija+N+Ess+PxPl3	kobleriijaneaset	khˈob.le.rˌij.jɑ.nˌĕæ.seh
kognišuvdna+N+Sg+Nom+PxDu3	kognišuvdnaska	khˈo.gni.ʃˌuβː.tnɑs.kɑ
koketteret+V+TV+Der/PassL+V+IV+Actio+Nom	koketterejuvvon	khˈoː.ket.tˌe.re»jˌuv.von
kriita+N+Sg+Ill	kriitii	krˈijː.çtij
krubbá+N+Der/viđá+Adv	krubbaviđá	krˈubː.pɑː»vˌi.ðɑː
krássa+G3+N+Pl+Loc	krássain	krˈɑːs.sɑjn
kvantitehta+N+Sg+Ill	kvantitehtii	kvˈɑnː.n̥ti.tˌeh.tij
kvohta+N+Sg+Ill	kvohtii	kvˈoːh.tij
kvotieanta+N+Der/viđá+Adv	kvotieantaviđá	kvˈo.ti.ˌĕænː.n̥tɑ»vˌi.ðɑː
kyrillalaš+A+Attr	kyrillalaš	khˈy.ril.lˌɑ.lɑʃ
kállet+V+TV+Der/PassL+V+IV+Der/upmi+N+Sg+Gen+PxSg2	kállejumát	khˈɑːl.le»j»ˌu.mɑːh
kåseret+V+IV+Der/PassL+V+IV+PrfPrc	kåserejuvvon	khˈoː.se.re»j»ˌuv.von
kåseret+V+IV+Der/PassL+V+IV+Der/NomAct+N+Ess	kåserejuvvomin	khˈoː.se.re»j»ˌuv.vo»min
kåseret+V+IV+Ind+Prt+Du1	kåseriime	khˈoː.se.rˌij.me
kåseret+V+IV+Ind+Prt+Du3	kåseriiga	khˈoː.se.rˌijː.kɑ
kåseret+V+IV+Ind+Prt+Sg3	kåserii	khˈoː.se.rij
kåseriija+N+Sg+Ill	kåseriijii	khˈoː.se.rˌij.jij
logi+Num+Ess	login	lˈo.giːn
logi+Num+Ess	lohkin	lˈohː.kiːn
logi+Num+Pl+Acc	logiid	lˈoː.gijh
logi+Num+Pl+Com	logiiguin	lˈoː.gij.gujn
logi+Num+Pl+Gen	logiid	lˈoː.gijh
logi+Num+Pl+Loc	logiin	lˈoː.gijn
logi+Num+Sg+Acc	logi	lˈo.giː
logi+Num+Sg+Gen	logi	lˈo.giː
logi+Num+Sg+Ill+Attr	logi	lˈo.giː
logi+Num+Sg+Ill	lohkái	lˈohː.kɑːj
lágan+v2+A+Pl+Nom	lágánat	lˈɑː.gɑː.nɑh
lágan+v2+A+Sg+Nom	lágán	lˈɑː.gɑːn
lágan+A+Ess	láganin	lˈɑː.gɑ.nin
lágan+A+Sg+Acc	lágan	lˈɑː.gɑn
lágan+A+Der/vuohta+N+Sg+Ill	láganvuhtii	lˈɑː.gɑn»vˌuh.tij
lágaš+v1+A+Der/vuohta+N+Pl+Nom	lágašvuođat	lˈɑː.gɑʃ»vˌuo.ðɑh
lágaš+v1+A+Ess	lágažin	lˈɑː.gɑ.dʃin
lágaš+v1+A+Sg+Gen	lágaža	lˈɑː.gɑ.dʃɑ
lágaš+v1+A+Sg+Ill	lágažii	lˈɑː.gɑ.dʃij
lágaš+v2+A+Sg+Acc	lágáš	lˈɑː.gɑːʃ
lágaš+v2+A+Der/vuohta+N+Sg+Ill	lágášvuhtii	lˈɑː.gɑːʃ»vˌuh.tij
lágaš+v2+A+Ess	lágážin	lˈɑː.gɑː.dʃin
lágaš+A+Attr	lágaš	lˈɑː.gɑʃ
lágaš+A+Sg+Acc	lágaš	lˈɑː.gɑʃ
lágaš+A+Sg+Nom	lágaš	lˈɑː.gɑʃ
lágaš+A+Sg+Gen	lágaža	lˈɑː.gɑ.dʃɑ
lageš+Sem/Plant+N+Der/heapmi+A+Ess	lagešheapmin	lˈɑ.geʃ»hˌeæp.min
lahkosis+Adv	lahkosis	lˈɑh.ko.sis
latnji+Sem/Ani+N+Der/huhtti+V+TV+Imprt+Sg2	lanjihuhte	lˈɑnː.ji»hˌuh.te
lađaidit+V+IV+Der/meahttun+A+Pl+Com+PxDu1	lađaitmeahttumiiddámeguin	lˈɑ.ðɑːjh»mˌĕæhː.tu.mˌijtː.tɑː.mˌe.gujn
leat+V+IV+Actio+Ess	leahkime	lˈeæh.ki.me
leat+V+IV+Imprt+Sg1	lehkon	lˈeːh.kon
leat+V+IV+Ind+Prs+Du1	letne	lˈet.ne
leat+V+IV+Ind+Prs+ConNeg	leat	lˈeæh
leat+V+IV+Inf	leahkit	lˈeæh.kiːh
leat+V+IV+Pot+Prt+Pl3	ležže	lˈedː.tʃe
lektoráhta+N+Sg+Ill	lektoráhtii	lˈekː.hto.rˌɑːh.tij
lekšuvdna+N+Sg+Ill+PxPl2	lekšuvdnaseattet	lˈekː.ʃuv.tnˌɑ.sĕæt.teh
likta+N+Sg+Com+PxPl2	livttaineattet	lˈiβɸː.tɑːj.nˌĕæt.teh
likšat+V+TV+Der/stuvva+V+Imprt+Sg2	livššastuva	lˈiβʃː.ʃɑː»stˌu.vɑ
livvut+V+IV+Ind+Prt+Sg3	livui	lˈiː.vuj
loakti+N+Sg+Gen+PxSg2	loavttát	lˈoɑβɸ.tɑːh
lobby+N+Der/huhtti+V+TV+Ind+Prt+Pl3	loppyhuhtte	lˈop.py»hˌuhː.te
logioasat+A+Ess	logioasagin	lˈo.gi#ˌoɑ.sɑ.gin
lossosaš+A+Der/vuohta+N+Sg+Gen	lossosašvuođa	lˈos.so.sɑʃ»vˌuo.ðɑ
lozzadit+V+IV+Ind+Prt+Sg1	lozzadedjen	lˈodː.tsɑː.ðˌec.cen
loččohaddat+V+TV+Der/NomAg+N+Pl+Nom	loččohaddit	lˈot.tʃo.hˌɑdː.ti»h
luiku+N+Sg+Gen+PxSg2	luikkot	lˈujç.koh
lunta+Sem/Hum+N+Der/viđá+Adv	luntaviđá	lˈunː.n̥tɑ»vˌi.ðɑː
luččuhit+V+TV+Der/alla+V+Ind+Prt+ConNeg	luččohallan	lˈut.tʃoh»ˌɑl.lɑn
lykaoniagiella+Sem/Lang+N+Sg+Ill	lykaoniagillii	lˈy.kɑ.ˌo.ni.ɑ#kˌil.lij
lymfa+N+Sg+Ill	lymfii	lˈym.fij
lymfačuolbma+N+Der/viđá+Adv	lymfačuolbmaviđá	lˈym.fɑ#tʃˌŭolə.pmɑ»vˌi.ðɑː
lyralaš+A+Sg+Ill	lyralažžii	lˈy.rɑ.lˌɑdː.tʃij
lálláhit+V+TV+Actio+Com	lálláhemiin	lˈɑːl.lɑː.hˌe.mijn
lánto+N+Sg+Ill	lántui	lˈɑːnː.n̥tuj
lánuorat+N+Ess	lánuorahin	lˈɑː.nuo.rˌɑ.hin
lávttas+N+Sg+Acc	láktasa	lˈɑːkː.htɑ.sɑ
læstadiánalašvuohta+N+Sg+Ill	læstadiánalašvuhtii	lˈæsː.tɑ.ðˌi.ɑː.nˌɑ.lɑʃ.vuh.tij
læstadiánalašvuohta+N+Sg+Ill+PxDu2	læstadiánalašvuohtaseatte	lˈæsː.tɑ.ðˌi.ɑː.nˌɑ.lɑʃ.vuoh.tɑ.sĕæt.te
læstadiánalašvuohta+N+Sg+Nom+PxPl1	læstadiánalašvuohtamet	lˈæsː.tɑ.ðˌi.ɑː.nˌɑ.lɑʃ.vuoh.tɑ.meh
mašiidna+N+Sg+Nom+PxDu3	mašiidnaska	mˈɑ.ʃij.tnˌɑsː.kɑ
mašiidna+N+Sg+Nom+PxPl3	mašiidnaset	mˈɑ.ʃij.tnˌɑ.seh
mašiidna+N+Sg+Nom	mašiidna	mˈɑ.ʃij.tnɑ
mašiidna+N+Ess+PxPl1	mašiidnaneamet	mˈɑ.ʃij.tnˌɑ.nĕæ.meh
mašiidna+N+Ess+PxSg3	mašiidnanis	mˈɑ.ʃij.tnˌɑ.nis
mašiidna+N+Sg+Ill	mašiidnii	mˈɑ.ʃij.tnij
mašiidna+N+Pl+Nom	mašiinnat	mˈɑ.ʃijn.nɑh
mašiidna+N+Sg+Acc+PxDu2	mašiinnade	mˈɑ.ʃijn.nˌɑ.de
mašiidna+N+Sg+Loc	mašiinnas	mˈɑ.ʃijn.nɑs
mašiidna+N+Der/heapmi+A+Attr	mašiinnahis	mˈɑ.ʃijn.nɑ»his
mii+Pron+Interr+Sg+Acc	maid	mˈɑjh
mii+Pron+Interr+Sg+Nom	mii	mˈij
mii+Pron+Interr+Ess	manin	mˈɑ.niːn
mii+Pron+Interr+Pl+Acc	maid	mˈɑjh
mii+Pron+Interr+Pl+Nom	mat	mˈɑh
mii+Pron+Interr+Sg+Com	mainna	mˈɑjnː.nɑː
mii+Pron+Interr+Sg+Loc	mas	mˈɑs
mii+Pron+Rel+Sg+Acc	maid	mˈɑjh
mii+Pron+Rel+Sg+Acc	máid	mˈɑːjh
mii+Pron+Rel+Sg+Nom	mii	mˈij
mii+Pron+Rel+Ess	manin	mˈɑ.niːn
mii+Pron+Rel+Pl+Ill	maidda	mˈɑjtː.tɑː
mii+Pron+Rel+Pl+Nom	mat	mˈɑh
mii+Pron+Rel+Sg+Acc	man	mˈɑn
mannut+V+IV+Der/st+V+Ind+Prs+ConNeg	manus	mˈɑ.nu»s
maššir+Sem/Hum+N+Der/geahtes+A+Attr	maššergeahtes	mˈɑʃ.ʃer»gˌĕæh.tes
mccarthyisma+N+Sg+Ill	mccarthyismii	mtstsˈɑrt.hy.ˌisː.mij
mccarthyisma+N+Der/heapmi+A+Attr+Der/vuohta+N+Pl+Ill	mccarthyismmahisvuođaide	mtstsˈɑrt.hy.ˌis.mɑ»his»vˌuo.ðɑj.de
mekanihkka+N+Pl+Nom	mekanihkat	mˈe.kɑː.nˌih.kɑh
menestus+N+Sg+Com	menestusain	mˈeː.nes.tˌu.sɑjn
meres+N+Ess	meresin	mˈe.re.sin
mihkkege+v1+Pron+Indef+Sg+Acc	maidege	mˈɑjː.te.ge
mihkke+Pron+Indef+Sg+Acc	maide	mˈɑjː.te
midjanlaš+Sem/Hum+N+Der/Dimin+N+Der/viđá+Adv	midjanlaččašviđá	mˈicː.cɑːn.lˌɑt.tʃɑ»ʃ»vˌi.ðɑː
migreret+V+IV+Ind+Prt+Pl2	migreriidet	mˈi.gre.rˌijː.teh
mihoštallat+V+IV+Der/NomAg+N+Sg+Ill	mihoštallái	mˈiː.hoʃ.tˌɑlː.lɑː»i
mikrofilbma+N+Sg+Ill	mikrofilbmii	mˈik.ro#fˌilə.pmij
mii+Pron+Indef+Sg+Acc+	máid	mˈɑːjh
mjau+Interj	mjau	mjˈɑu
monokultuvrralašvuohta+N+Sg+Ill	monokultuvrralašvuhtii	mˈo.no#khˌulː.l̥tuvr.rˌɑ.lɑʃ.vˌuh.tij
mođđat+V+IV+Der/PassS+V+IV+Ind+Prt+Sg3	mođđui	mˈoð.ðu»i
mun+Pron+Pers+Pl1+Acc	min	mˈin
mun+Pron+Pers+Sg1+Loc	mus	mˈus
mutuvra+N+Ess+PxDu3	mutuvraneaskka	mˈuː.tuv.rˌɑ.neæs.kɑ
muŋkát+V+IV+Cond+Prs+ConNeg	muŋkáše	mˈuŋŋ.ŋ̊kɑː.ʃe
myalgiija+N+Pl+Gen+PxSg3	myalgiijaidis	mˈy.ɑlə.gˌij.jɑj.dis
mykologiija+N+Pl+Loc+PxPl3	mykologiijaineaset	mˈy.ko.lˌo.gij.jˌɑj.nĕæ.seh
mágoddi+Sem/Org+N+Pl+Nom	mágottit	mˈɑː#kˌotː.tih
mágastaddat+V+IV+Imprt+ConNeg	mágastatta	mˈɑː.gɑs.tˌɑt.tɑ
möbleret+V+TV+Ind+Prt+Du2	möbleriide	mˈøb.le.rˌijː.te
möbleret+V+TV+Ind+Prt+Sg3	möblerii	mˈøb.le.rij
møbleret+V+TV+Ind+Prt+Du2	møbleriide	mˈøb.le.rˌijː.te
nubbi+Pron+Recipr+Pl+Acc+PxDu2	nuppiideatte	nˈup.pij.dˌĕæt.te
nubbi+Pron+Recipr+Pl+Acc+PxPl1	nuppiideamet	nˈup.pij.dˌĕæ.meh
nubbi+Pron+Recipr+Pl+Acc+PxPl2	nuppiideattet	nˈup.pij.dˌĕæt.teh
nubbi+Pron+Recipr+Pl+Acc+PxPl3	nuppiideaset	nˈup.pij.dˌĕæ.seh
nubbi+Pron+Recipr+Pl+Com+PxDu1	nuppiideameguin	nˈup.pij.dˌĕæ.me.gujn
nubbi+Pron+Recipr+Pl+Com+PxDu2	nuppiideatteguin	nˈup.pij.dˌĕæt.te.gujn
nubbi+Pron+Recipr+Pl+Gen+PxDu1	nuppiideame	nˈup.pij.dˌĕæ.me
nubbi+Pron+Recipr+Pl+Gen+PxPl2	nuppiideattet	nˈup.pij.dˌĕæt.teh
nubbi+Pron+Recipr+Pl+Gen+PxPl3	nuppiideaset	nˈup.pij.dˌĕæ.seh
nubbi+Pron+Recipr+Pl+Ill+PxDu1	nuppiidasame	nˈup.pij.dˌɑ.sɑ.me
nubbi+Pron+Recipr+Pl+Ill+PxDu2	nuppiidasade	nˈup.pij.dˌɑ.sɑ.de
nubbi+Pron+Recipr+Pl+Ill+PxPl2	nuppiidasadet	nˈup.pij.dˌɑ.sɑ.deh
nubbi+Pron+Recipr+Pl+Ill+PxPl3	nuppiidasaset	nˈup.pij.dˌɑ.sɑ.seh
nubbi+Pron+Recipr+Pl+Loc+PxDu1	nuppiineame	nˈup.pij.nˌĕæ.me
nubbi+Pron+Recipr+Pl+Loc+PxDu3	nuppiineaskka	nˈup.pij.nˌeæs.kɑ
nubbi+Pron+Recipr+Pl+Loc+PxPl3	nuppiineaset	nˈup.pij.nˌĕæ.seh
nuppelohkái+Num+Ess	nubbinlogin	nˈubː.pin#lˌo.gin
nuppelohkái+Num+Ess	nubbinlohkin	nˈubː.pin#lˌohː.kin
nuppelohkái+Num+Sg+Gen	nuppelogi	nˈup.pe#lˌo.gi
nuppelohkái+Num+Sg+Loc	nuppelogis	nˈup.pe#lˌo.gis
nuppelohkái+Num+Sg+Gengiel+A+Attr	nuppelogigiel	nˈup.pe#lˌo.gi»giel
nuppelohkái+Num+Sg+Genčorgi+Sem/Time+N+Der/viđá+Adv	nuppelogičorgeviđá	nˈup.pe#lˌo.gi»tʃˌor.ge»vˌi.ðɑː
nuppelohkái+Num+Sg+Ill	nuppelohkái	nˈup.pe#lˌohː.kɑːj
nuppelohkái+Num+Sg+Nom	nuppelohkái	nˈup.pe#lˌohː.kɑːj
nuppelohkái+Num+Sg+Com	nuppiinlogiin	nˈup.pijn#lˌo.gijn
nuppelohkái+Num+Pl+Nom	nuppitlogit	nˈupː.pih#lˌo.gih
naššuvdna+Sem/Org+Sem/Plc+N+Sg+Nom+PxPl3	naššuvdnaset	nˈɑʃː.ʃuv.tnˌɑ.seh
naššuvdna+Sem/Org+Sem/Plc+N+Ess+PxDu3	naššuvdnaneaskka	nˈɑʃː.ʃuv.tnˌɑ.neæs.kɑ
naššuvdna+Sem/Org+Sem/Plc+N+Sg+Gen+PxDu2	naššuvnnade	nˈɑʃː.ʃuvn.nˌɑ.de
nahkat+V+IV+Cond+Prs+Sg1	nagašedjen	nˈɑ.gɑː.ʃˌec.cen
